gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,service_count,monthly_to_total_ratio,tenure_bucket,has_support_services,charge_per_service
1,0,0,0,35,0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,49.2,1701.65,False,True,False,True,False,False,False,False,True,False,3.0,0.028896132499339266,2,0,12.3
1,0,1,1,15,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0,75.1,1151.55,True,False,False,False,True,False,False,False,False,True,2.0,0.0651598629126719,1,1,25.03333333333333
1,0,1,1,13,0,1.0,1.0,0.0,1.0,0.0,0.0,2,0,40.55,590.35,False,True,False,True,False,False,False,False,False,True,3.0,0.06857191172740339,1,1,10.1375
0,0,1,0,26,1,0.0,1.0,1.0,0.0,1.0,1.0,2,1,73.5,1905.7,True,False,False,True,False,False,False,True,False,False,5.0,0.03854827712802224,2,0,12.25
1,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,44.55,44.55,True,False,False,True,False,False,False,False,True,False,1.0,0.9780461031833151,0,0,22.275
1,0,0,1,66,1,0.0,1.0,1.0,1.0,1.0,1.0,2,1,79.5,5196.1,True,False,False,True,False,False,False,True,False,False,6.0,0.015296992553539474,3,1,11.357142857142858
0,0,0,0,1,1,,,,,,,0,0,19.8,19.8,True,False,False,False,False,True,False,True,False,False,1,0.9519230769230769,0,0,9.9
0,0,1,0,40,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,56.6,2379.1,False,False,True,True,False,False,False,True,False,False,3.0,0.023780513423805723,2,0,14.15
0,0,1,0,65,1,0.0,0.0,0.0,1.0,1.0,0.0,2,1,59.8,3808.2,True,False,False,True,False,False,False,True,False,False,3.0,0.015698834400924077,3,1,14.95
0,0,0,0,60,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0,80.55,4847.05,False,False,True,True,False,False,False,True,False,False,6.0,0.016614927651323726,3,1,11.507142857142856
